"Marca temporal","¿En qué rango de edad te encuentras?","Genero:","¿A qué te dedicas?","1. ¿Comúnmente con cuantas personas viajaría?","2. ¿Cuáles serían sus necesidades con respecto a la cajuela o maletero?","3. ¿Considera importante que su automóvil sea llamativo visualmente mediante la incorporación de materiales y acabados premium?","4. ¿Qué piensa del equipamiento tecnológico orientado a facilitar o hacer más cómoda la conducción? (control de crucero, asistente de ascenso en pendientes,  climatizador, etc.)","5. ¿Qué piensa del equipamiento tecnológico orientado al info-entretenimiento dentro de su automóvil?","6. ¿Qué opina acerca de los elementos y sistemas orientados a la seguridad de un automóvil?","7. ¿Es probable o piensa viajar de manera frecuente con bebés o niños pequeños?","8. ¿Tiene contemplado el viajar frecuentemente con alguna persona con limitaciones físicas o de capacidades diferentes?","9. ¿Que opción describe mejor los trayectos que en su mayoría recorre de manera habitual?","10. ¿Qué tan frecuentes son las pendientes en los trayectos que recorre de manera habitual?","11. ¿Tiende a realizar con frecuencia viajes largos (de más de 100km) en donde contempla el uso de un automóvil?","12. ¿Qué opción le describe mejor?","13. ¿Con frecuencia suele visitar lugares nuevos o entornos muy variados?","14. ¿Tiene alguna preferencia por el tipo de transmisión?","15. De acuerdo a sus actividades, y contemplando un día de uso normal. ¿Aproximadamente cuanto tiempo pasaría manejando un automóvil?","16. ¿Que aspecto valora mas de un automóvil?","17. ¿Cuánto dinero estaría dispuesto a pagar por un automóvil nuevo?"
"2021/01/10 8:18:05 p. m. GMT-6","45 - 54 años","Femenino","Trabajo desde casa o atiendo labores del hogar","Solo yo o con una persona más","Por las actividades de mi día a día, veo indispensable un maletero amplio","No, me interesan más otros aspectos","Mientras más elementos tecnológicos de este tipo, mejor","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Me basta con los elementos básicos de seguridad que un auto pueda ofrecer","No","No","Caminos difíciles o terrenos Off-Road","Muy poco frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Manual","Entre 1 y 3 horas","Su capacidad de velocidad y control","De preferencia menos de 220,000 pesos"
"2021/01/10 8:20:02 p. m. GMT-6","35 -44 años","Femenino","Trabajo desde casa o atiendo labores del hogar","Solo yo o con una persona más","Por las actividades de mi día a día, veo indispensable un maletero amplio","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Medianamente frecuentes","Sí","Pienso en un automóvil más como un lujo o gusto personal que me permita salir sólo o con amigos","Muy frecuentemente","No","Entre 1 y 3 horas","Su capacidad de velocidad y control","Entre 500,000 y 1,500,000 pesos"
"2021/01/10 8:22:09 p. m. GMT-6","45 - 54 años","Femenino","Trabajo en fábrica / taller","Con 5 o más personas","Por las actividades de mi día a día, veo indispensable un maletero amplio","No, me interesan más otros aspectos","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Lo considero importante, pero no es un aspecto determinante","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Medianamente frecuentes","No","Pienso en un automóvil más como un lujo o gusto personal que me permita salir sólo o con amigos","Muy poco o casi nunca","Transmisión Manual","1 hora o menos","Su capacidad de eficiencia energética y ahorro","De preferencia menos de 220,000 pesos"
"2021/01/10 8:24:39 p. m. GMT-6","25 - 34 años","Femenino","Soy comerciante","Solo yo o con una persona más","Necesitaría mas espacio del que me ofrece un maletero común ya que frecuentemente transporto objetos de gran peso y volumen","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Prefiero limitarme a las características básicas que un auto ofrece en este aspecto y priorizar otros","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Me basta con los elementos básicos de seguridad que un auto pueda ofrecer","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Medianamente frecuentes","No","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","No","1 hora o menos","Su capacidad de velocidad y control","Entre 220,000 y 350,000 pesos"
"2021/01/10 8:27:08 p. m. GMT-6","35 -44 años","Femenino","Trabajo en fábrica / taller","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Mientras más elementos tecnológicos de este tipo, mejor","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Me basta con los elementos básicos de seguridad que un auto pueda ofrecer","No","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","No","Pienso en un automóvil más como un lujo o gusto personal que me permita salir sólo o con amigos","Muy poco o casi nunca","Transmisión Automática","1 hora o menos","Otra","De preferencia menos de 220,000 pesos"
"2021/01/10 8:29:14 p. m. GMT-6","25 - 34 años","Femenino","Actividades agrícolas /ganaderas / construcción","Con 3 o hasta 4 personas más","Necesitaría mas espacio del que me ofrece un maletero común ya que frecuentemente transporto objetos de gran peso y volumen","No, me interesan más otros aspectos","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Lo considero importante, pero no es un aspecto determinante","No","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Muy frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Muy frecuentemente","No","Entre 1 y 3 horas","Otra","Entre 350,000 y 500,000 pesos"
"2021/01/10 8:30:48 p. m. GMT-6","45 - 54 años","Femenino","Soy comerciante","Solo yo o con una persona más","Necesitaría mas espacio del que me ofrece un maletero común ya que frecuentemente transporto objetos de gran peso y volumen","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Automática","Entre 1 y 3 horas","Otra","Entre 350,000 y 500,000 pesos"
"2021/01/10 8:31:56 p. m. GMT-6","25 - 34 años","Femenino","Otro","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","Sí","Vialidades con pocos topes /reductores de velocidad / semáforos","Muy poco frecuentes","Sí","Pienso en un automóvil más como un lujo o gusto personal que me permita salir sólo o con amigos","Muy frecuentemente","Transmisión Automática","Entre 1 y 3 horas","Otra","Entre 500,000 y 1,500,000 pesos"
"2021/01/10 8:33:33 p. m. GMT-6","55 años en adelante","Masculino","Otro","Con 5 o más personas","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Lo considero importante, pero no es un aspecto determinante","Sí","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Muy frecuentemente","Transmisión Manual","Entre 1 y 3 horas","Otra","Entre 500,000 y 1,500,000 pesos"
"2021/01/10 8:34:48 p. m. GMT-6","45 - 54 años","Masculino","Otro","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","Sí","Pienso en un automóvil más como un lujo o gusto personal que me permita salir sólo o con amigos","Muy frecuentemente","Transmisión Automática","1 hora o menos","Otra","Entre 500,000 y 1,500,000 pesos"
"2021/01/10 8:36:16 p. m. GMT-6","18 - 24 años","Masculino","Soy Estudiante","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Prefiero limitarme a las características básicas que un auto ofrece en este aspecto y priorizar otros","Prefiero una conducción más tranquila con opción a disfrutar solo de música, y darle mas prioridad a otro tipo de aspectos","Me basta con los elementos básicos de seguridad que un auto pueda ofrecer","No","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","No","Pienso en un automóvil como un medio para facilitarme el día a día y disminuir gastos","Muy poco o casi nunca","Transmisión Automática","Entre 1 y 3 horas","Otra","De preferencia menos de 220,000 pesos"
"2021/01/10 8:37:42 p. m. GMT-6","25 - 34 años","Femenino","Soy comerciante","Con 3 o hasta 4 personas más","Por las actividades de mi día a día, veo indispensable un maletero amplio","No, me interesan más otros aspectos","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Me basta con los elementos básicos de seguridad que un auto pueda ofrecer","Sí","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","No","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Muy poco o casi nunca","Transmisión Manual","Entre 1 y 3 horas","Otra","Entre 220,000 y 350,000 pesos"
"2021/01/10 8:39:42 p. m. GMT-6","35 -44 años","Masculino","Trabajo en oficina","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Lo considero importante, pero no es un aspecto determinante","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy poco frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Muy poco o casi nunca","Transmisión Automática","Entre 1 y 3 horas","Otra","Entre 350,000 y 500,000 pesos"
"2021/01/10 8:41:27 p. m. GMT-6","45 - 54 años","Masculino","Actividades agrícolas /ganaderas / construcción","Solo yo o con una persona más","Necesitaría mas espacio del que me ofrece un maletero común ya que frecuentemente transporto objetos de gran peso y volumen","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Me basta con los elementos básicos de seguridad que un auto pueda ofrecer","No","Sí","Caminos difíciles o terrenos Off-Road","Muy frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","No","3 horas o más","Otra","Entre 500,000 y 1,500,000 pesos"
"2021/01/10 8:43:33 p. m. GMT-6","55 años en adelante","Masculino","Trabajo desde casa o atiendo labores del hogar","Solo yo o con una persona más","Por las actividades de mi día a día, veo indispensable un maletero amplio","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Lo considero importante, pero no es un aspecto determinante","No","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Automática","Entre 1 y 3 horas","Otra","Entre 500,000 y 1,500,000 pesos"
"2021/01/11 9:03:50 p. m. GMT-6","55 años en adelante","Femenino","Trabajo en oficina","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Mientras más elementos tecnológicos de este tipo, mejor","Prefiero una conducción más tranquila con opción a disfrutar solo de música, y darle mas prioridad a otro tipo de aspectos","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Muy frecuentes","No","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Manual","Entre 1 y 3 horas","Su capacidad de eficiencia energética y ahorro","Entre 220,000 y 350,000 pesos"
"2021/01/12 6:52:34 p. m. GMT-6","18 - 24 años","Masculino","Otro","Solo yo o con una persona más","Necesitaría mas espacio del que me ofrece un maletero común ya que frecuentemente transporto objetos de gran peso y volumen","No, me interesan más otros aspectos","Prefiero limitarme a las características básicas que un auto ofrece en este aspecto y priorizar otros","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Me basta con los elementos básicos de seguridad que un auto pueda ofrecer","No","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Manual","Entre 1 y 3 horas","Otra","De preferencia menos de 220,000 pesos"
"2021/01/12 6:57:32 p. m. GMT-6","18 - 24 años","Masculino","Soy Estudiante","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Prefiero limitarme a las características básicas que un auto ofrece en este aspecto y priorizar otros","Prefiero una conducción más tranquila con opción a disfrutar solo de música, y darle mas prioridad a otro tipo de aspectos","Me basta con los elementos básicos de seguridad que un auto pueda ofrecer","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Medianamente frecuentes","Sí","Pienso en un automóvil como un medio para facilitarme el día a día y disminuir gastos","Muy poco o casi nunca","Transmisión Manual","1 hora o menos","Su capacidad de eficiencia energética y ahorro","De preferencia menos de 220,000 pesos"
"2021/01/12 6:58:27 p. m. GMT-6","18 - 24 años","Femenino","Soy Estudiante","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy frecuentes","Sí","Pienso en un automóvil como un medio para facilitarme el día a día y disminuir gastos","Un par de veces al mes","No","Entre 1 y 3 horas","Su capacidad de eficiencia energética y ahorro","De preferencia menos de 220,000 pesos"
"2021/01/12 6:59:19 p. m. GMT-6","25 - 34 años","Masculino","Soy comerciante","Solo yo o con una persona más","Por las actividades de mi día a día, veo indispensable un maletero amplio","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Lo considero importante, pero no es un aspecto determinante","Sí","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Manual","Entre 1 y 3 horas","Otra","Entre 220,000 y 350,000 pesos"
"2021/01/12 7:00:24 p. m. GMT-6","25 - 34 años","Femenino","Soy comerciante","Con 3 o hasta 4 personas más","Por las actividades de mi día a día, veo indispensable un maletero amplio","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Lo considero importante, pero no es un aspecto determinante","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Medianamente frecuentes","No","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Manual","Entre 1 y 3 horas","Otra","Entre 220,000 y 350,000 pesos"
"2021/01/12 7:01:23 p. m. GMT-6","35 -44 años","Masculino","Trabajo en oficina","Con 3 o hasta 4 personas más","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Automática","Entre 1 y 3 horas","Otra","Entre 350,000 y 500,000 pesos"
"2021/01/12 7:02:10 p. m. GMT-6","35 -44 años","Femenino","Trabajo en oficina","Con 3 o hasta 4 personas más","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Muy frecuentemente","Transmisión Manual","Entre 1 y 3 horas","Otra","Entre 350,000 y 500,000 pesos"
"2021/01/12 7:02:11 p. m. GMT-6","45 - 54 años","Masculino","Soy comerciante","Con 3 o hasta 4 personas más","Por las actividades de mi día a día, veo indispensable un maletero amplio","No, me interesan más otros aspectos","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Muy poco frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","No","3 horas o más","Su capacidad de eficiencia energética y ahorro","Entre 220,000 y 350,000 pesos"
"2021/01/12 7:02:54 p. m. GMT-6","45 - 54 años","Masculino","Trabajo en fábrica / taller","Con 3 o hasta 4 personas más","Por las actividades de mi día a día, veo indispensable un maletero amplio","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Automática","Entre 1 y 3 horas","Otra","Entre 500,000 y 1,500,000 pesos"
"2021/01/12 7:03:30 p. m. GMT-6","45 - 54 años","Femenino","Trabajo en fábrica / taller","Con 3 o hasta 4 personas más","Por las actividades de mi día a día, veo indispensable un maletero amplio","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Automática","Entre 1 y 3 horas","Su capacidad de velocidad y control","Entre 500,000 y 1,500,000 pesos"
"2021/01/12 7:04:18 p. m. GMT-6","55 años en adelante","Masculino","Actividades agrícolas /ganaderas / construcción","Solo yo o con una persona más","Necesitaría mas espacio del que me ofrece un maletero común ya que frecuentemente transporto objetos de gran peso y volumen","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","No","Caminos difíciles o terrenos Off-Road","Muy frecuentes","Sí","Pienso en un automóvil como un medio para facilitarme el día a día y disminuir gastos","Un par de veces al mes","Transmisión Manual","3 horas o más","Otra","Entre 500,000 y 1,500,000 pesos"
"2021/01/12 7:05:00 p. m. GMT-6","55 años en adelante","Femenino","Actividades agrícolas /ganaderas / construcción","Con 3 o hasta 4 personas más","Necesitaría mas espacio del que me ofrece un maletero común ya que frecuentemente transporto objetos de gran peso y volumen","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","No","Caminos difíciles o terrenos Off-Road","Medianamente frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Manual","Entre 1 y 3 horas","Su capacidad de velocidad y control","Entre 500,000 y 1,500,000 pesos"
"2021/01/12 7:05:47 p. m. GMT-6","35 -44 años","Masculino","Trabajo desde casa o atiendo labores del hogar","Con 3 o hasta 4 personas más","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","Sí","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Muy frecuentemente","Transmisión Automática","3 horas o más","Su capacidad de eficiencia energética y ahorro","Entre 500,000 y 1,500,000 pesos"
"2021/01/12 7:06:42 p. m. GMT-6","35 -44 años","Femenino","Trabajo desde casa o atiendo labores del hogar","Con 5 o más personas","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","Sí","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Medianamente frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Automática","Entre 1 y 3 horas","Su capacidad de velocidad y control","Entre 500,000 y 1,500,000 pesos"
"2021/01/12 7:07:26 p. m. GMT-6","18 - 24 años","Masculino","Soy Estudiante","Con 5 o más personas","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Muy frecuentes","Sí","Pienso en un automóvil más como un lujo o gusto personal que me permita salir sólo o con amigos","Muy frecuentemente","Transmisión Automática","3 horas o más","Otra","Entre 500,000 y 1,500,000 pesos"
"2021/01/12 7:08:22 p. m. GMT-6","18 - 24 años","Femenino","Soy Estudiante","Con 5 o más personas","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy frecuentes","Sí","Pienso en un automóvil más como un lujo o gusto personal que me permita salir sólo o con amigos","Muy frecuentemente","Transmisión Automática","3 horas o más","Otra","Entre 500,000 y 1,500,000 pesos"
"2021/01/12 7:09:14 p. m. GMT-6","55 años en adelante","Masculino","Trabajo en fábrica / taller","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Prefiero limitarme a las características básicas que un auto ofrece en este aspecto y priorizar otros","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","Sí","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Muy frecuentemente","Transmisión Automática","Entre 1 y 3 horas","Otra","De preferencia menos de 220,000 pesos"
"2021/01/12 7:09:14 p. m. GMT-6","55 años en adelante","Masculino","Actividades agrícolas /ganaderas / construcción","Con 5 o más personas","Necesitaría mas espacio del que me ofrece un maletero común ya que frecuentemente transporto objetos de gran peso y volumen","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","No","Caminos difíciles o terrenos Off-Road","Muy frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Muy frecuentemente","Transmisión Manual","3 horas o más","Otra","Entre 500,000 y 1,500,000 pesos"
"2021/01/12 7:19:06 p. m. GMT-6","18 - 24 años","Masculino","Soy Estudiante","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Me basta con los elementos básicos de seguridad que un auto pueda ofrecer","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy frecuentes","No","Pienso en un automóvil como un medio para facilitarme el día a día y disminuir gastos","Muy poco o casi nunca","No","1 hora o menos","Su capacidad de velocidad y control","De preferencia menos de 220,000 pesos"
"2021/01/12 7:21:46 p. m. GMT-6","25 - 34 años","Masculino","Otro","Con 3 o hasta 4 personas más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Mientras más elementos tecnológicos de este tipo, mejor","Prefiero una conducción más tranquila con opción a disfrutar solo de música, y darle mas prioridad a otro tipo de aspectos","Me basta con los elementos básicos de seguridad que un auto pueda ofrecer","Sí","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy frecuentes","Sí","Pienso en un automóvil más como un lujo o gusto personal que me permita salir sólo o con amigos","Un par de veces al mes","Transmisión Manual","1 hora o menos","Su capacidad de velocidad y control","Entre 220,000 y 350,000 pesos"
